Book Title,Description,Author,Category /Shelf Code,Volume,Language,Old Shelf Code,OLD Acc No,Publisher,Year of Publication,NEW SHELF CODE,CHECKED,BOOK ID,ISBN,
Bharatee-Mandir Sanskrit Series No-2-Ananda Lahari(The Quintessence of Srikantha Bhashya),by Appayya Dikshita-With Commentary by Chandrika & Edited by,Pt. R.Halasyantha Sastry,Advaita,,Sanskrit,3,256,"Sri Vani Vilas Press, Sri Rangam",1908,ADV- RHS,,1072,,
Bharatiya Aadyatimika Siddantamu,The Therory of Indian Spirituality,Vivekananda Vittalacharya,Advaita,,Telugu,A5,3938,"Sri Uday Printers ,Hyderabad",2015,ADV-,,1073,,
Bharatiya Sanskruti - Tattvamu,Part-1,Yoga charya- Dr. Ramparthi Rama Rao,Advaita,,Telugu,NA(J2),3509,"Yoga Chaitanya Samstha, Vijayanagaram Distt.",2013,ADV- RRR,,1074,,
Bhavan's Book University,Sankara's Teachings In His Own Words,Swami Atmananda,Advaita,,English,5,917,"Bharatiya Vidya Bhavan, Bombay",1958,ADV- ADI,,1075,,
Bhavashuddhiye Gnanasiddhi,NA,Maharshi Sadguru Sri Mallayya,Advaita,,Telugu,A5,2105,"Sri Vyasaashramulu, Chittoor Jilla",1987,ADV-MSM,,1076,,
Brahma Sutramulu,NA,Shyama Shastri,Advaita,,Telugu,A5,3630,"Ramakrishna  Matt, Hyderabad",2012,ADV- SS,,1077,,
Brahmajignyasa,Chaturtha Bhagamu,Marriboyena Ramasubramaniam,Advaita,,Telugu,A5,2745,"Ajay Kallem, TTD Samsthan",2004,ADV-MR,,1078,,
Brahmananda Vaibhavamu,NA,Srividya Prakashanandagiri ,Advaita,,Telugu,A5,2095,Sri Sukrabrahmasramulu Sri Kakahasti,1989,ADV- SP,,1079,,
Brahmasutra Darpanamu,A guide to Brahma Sutra,Dosapaati Ramakrishna,Advaita,,Telugu,A5,3872,"Gollapudi Veraswamy & others, Rajamundry",2009,ADV-  DR,,1080,,
Brahmavidya Ratnakaramu,Prathama Samputamu,NA,Advaita,,Telugu,A5,3956,"Brahma Vidya Sampradayamu, Siddhashram",2010,ADV-NA,,1081,,
Bramha Sutra Deepeka,Part-1,Sri Sundara Chaitanyanand,Advaita,,Telugu,NA(J2),2323,"Sri Sundara Chaitanya Ashramam, Dawaleshwaram",1987,ADV- SwSC,,1082,,
Bramhananda Vaibhavamu,NIL,Sri Vidya Prakashnandagiri,Advaita,,Telugu,NA(J2),2345,"Sri Shukha Bramhashramam, Chittoor Distt",1983,ADV- VP,,1083,,
Dakshina Murthy Pradakishnamu,Stotras Vivarana,Yellam Raju Srinivas Rao,Advaita,,Telugu,NA(J6),3692,"Yellamraju Srinivas Rao, Vijayawada",2004,ADV-YRS,,1084,,
Dakshinamurthy Pradakshainam,Sankara Bhagavadhpada Virachitham,Bhramasri Yallamraju Srinivasa Rao,Advaita,,Telugu,RRB1,964,"Adhishankara Avaitha Vedhanta Parishath,New Nallakunta,Hyderabad",1996,ADV-BY,,1085,,
Dakshinamurthy Stotram & Dasasloki,Of Shankaracharya,Swami Gambhirananda,Advaita,,ENGLISH,NIL,NIL,"Sri Ramakrishna Matt, Madras",1985,ADV-,,1086,,
